"Rk","Team","Conf","W-L","AdjEM","AdjO","AdjD","AdjT","Luck","OppAdjEM","OppO","OppD","NCAdjEM"
"220","Holy Cross","Pat","13-12","-5.12","101.3","106.4","62.9","+.048","-4.10","101.6","105.7","-1.92"
"221","Rice","CUSA","10-15","-5.15","105.8","111.0","70.5","-.040","-0.29","102.1","102.4","+0.99"
"222","Florida Gulf Coast","ASun","10-16","-5.17","101.0","106.2","68.9","-.038","+0.76","103.9","103.2","+4.33"
"223","William & Mary","CAA","9-16","-5.23","103.4","108.6","68.3","-.033","+0.00","106.0","106.0","+3.52"
"224","Troy","SB","11-12","-5.36","107.5","112.8","66.8","+.047","-1.32","103.4","104.8","+0.51"
"225","UMBC","AE","15-10","-5.52","95.6","101.1","64.9","+.045","-6.44","99.4","105.8","-4.18"
"226","Fairleigh Dickinson","NEC","12-12","-5.59","105.6","111.2","67.6","-.031","-5.86","99.0","104.9","-0.76"
"227","Quinnipiac","MAAC","12-10","-5.77","102.8","108.6","66.1","+.013","-8.35","99.3","107.6","-6.61"
"228","The Citadel","SC","11-12","-5.82","105.2","111.1","75.3","+.069","+2.97","105.4","102.4","+0.94"
"229","South Alabama","SB","12-12","-5.91","100.7","106.6","66.5","-.012","-5.42","101.6","107.0","-8.02"
"230","Detroit","Horz","9-16","-5.99","103.5","109.5","68.4","-.020","+0.33","104.7","104.4","+5.44"
"231","Boston University","Pat","11-14","-6.02","103.1","109.1","66.6","-.041","-3.79","102.3","106.1","-4.18"
"232","FIU","CUSA","14-11","-6.02","100.9","106.9","79.0","+.113","-1.28","101.4","102.7","-2.60"
"233","Fordham","A10","10-13","-6.07","100.2","106.3","64.1","-.093","-6.08","98.9","105.0","-11.87"
"234","Long Beach St.","BW","9-16","-6.08","100.7","106.7","71.7","+.028","+2.00","104.8","102.8","+5.67"
"235","Drexel","CAA","12-14","-6.15","106.3","112.4","69.6","+.026","-2.81","103.3","106.1","-0.78"
"236","Lamar","Slnd","12-12","-6.18","101.7","107.8","68.2","-.021","-3.54","101.5","105.0","+2.70"
"237","Eastern Kentucky","OVC","11-14","-6.37","98.0","104.3","78.3","+.006","-1.90","103.0","104.9","+0.36"
"238","UC Davis","BW","8-14","-6.46","97.3","103.7","66.2","-.018","+2.12","103.8","101.7","+5.66"
"239","Sacred Heart","NEC","11-14","-6.54","101.9","108.5","72.3","-.079","-6.61","100.5","107.1","-0.82"
"240","Army","Pat","11-14","-6.90","95.9","102.8","70.0","-.001","-4.46","102.7","107.1","-4.27"
"241","Montana St.","BSky","11-12","-6.94","105.1","112.1","70.6","+.021","-4.87","102.7","107.5","+4.38"
"242","Prairie View A&M","SWAC","11-12","-7.16","99.7","106.9","70.6","+.042","-3.06","100.6","103.7","+6.52"
"243","Jacksonville","ASun","11-15","-7.19","98.5","105.7","71.6","-.015","-2.84","102.3","105.1","-3.88"
"244","UMKC","WAC","8-16","-7.28","98.8","106.1","66.7","-.055","+0.85","105.8","104.9","+1.43"
"245","Iona","MAAC","8-15","-7.57","105.6","113.1","72.0","-.077","-5.35","99.8","105.1","+0.72"
"246","Cal St. Northridge","BW","10-14","-7.62","106.6","114.3","70.3","-.003","-4.28","100.8","105.0","-3.14"
"247","Marist","MAAC","10-14","-7.66","101.5","109.2","64.7","-.061","-7.01","100.0","107.0","-2.71"
"248","Siena","MAAC","13-12","-7.68","101.0","108.7","60.4","+.077","-5.51","99.7","105.2","-1.21"
"249","Columbia","Ivy","6-14","-7.81","99.5","107.3","67.1","-.123","-2.89","102.6","105.5","-4.11"
"250","Robert Morris","NEC","13-12","-7.82","94.5","102.3","66.7","+.028","-7.06","101.6","108.7","-0.48"
"251","South Dakota","Sum","9-15","-7.88","98.0","105.8","66.6","-.046","-2.45","104.1","106.5","-0.30"
"252","Sacramento St.","BSky","9-11","-7.99","94.1","102.1","68.6","-.067","-4.51","102.6","107.1","-0.33"
"253","Arkansas St.","SB","10-14","-8.00","100.2","108.2","68.6","+.084","+0.17","105.3","105.1","+1.23"
"254","UMass Lowell","AE","13-12","-8.03","105.1","113.1","70.6","+.025","-5.87","98.9","104.8","-2.98"
"255","Canisius","MAAC","11-13","-8.15","100.4","108.5","68.6","+.117","-2.78","102.2","105.0","+3.02"
"256","Southeastern Louisiana","Slnd","11-13","-8.17","94.7","102.8","65.6","+.021","-4.67","101.1","105.8","+1.62"
"257","Delaware","CAA","15-11","-8.18","104.7","112.9","63.6","+.107","-5.98","101.7","107.7","-6.59"
"258","Air Force","MWC","10-13","-8.25","97.8","106.1","66.4","+.035","-2.20","102.6","104.8","-3.38"
"259","Youngstown St.","Horz","10-16","-8.39","102.7","111.1","67.1","-.015","-2.20","103.3","105.5","+0.39"
"260","Grambling St.","SWAC","12-11","-8.43","92.7","101.2","69.2","-.013","-6.88","99.2","106.0","+4.29"
"261","East Carolina","Amer","9-14","-8.45","95.6","104.0","68.6","+.009","-1.93","101.7","103.6","-11.99"
"262","St. Francis NY","NEC","14-11","-8.46","95.2","103.7","67.7","+.089","-6.31","101.3","107.7","-2.91"
"263","UTEP","CUSA","8-15","-8.49","91.6","100.1","68.5","-.075","-1.91","102.3","104.2","-1.41"
"264","Morehead St.","OVC","9-16","-8.49","103.1","111.6","67.5","+.031","+0.89","104.5","103.6","+5.41"
"265","George Washington","A10","7-16","-8.55","95.5","104.0","68.0","-.018","+0.24","102.7","102.4","-1.32"
"266","Norfolk St.","MEAC","13-11","-8.68","99.8","108.5","68.5","+.029","-6.45","98.9","105.4","+2.10"
"267","Chattanooga","SC","11-15","-8.69","102.6","111.3","66.8","+.039","-0.74","103.4","104.1","-2.11"
"268","Texas A&M Corpus Chris","Slnd","10-13","-8.69","95.5","104.2","65.9","-.028","-3.08","101.0","104.1","+4.68"
"269","California","P12","5-18","-8.72","105.5","114.2","66.9","+.013","+4.78","106.3","101.5","+0.81"
"270","Western Michigan","MAC","6-17","-8.79","100.0","108.8","68.9","-.049","+2.67","105.5","102.8","-3.18"
"271","Towson","CAA","9-16","-9.15","100.5","109.6","62.8","-.017","-3.27","103.2","106.5","-3.49"
"272","Middle Tennessee","CUSA","8-17","-9.26","95.5","104.8","68.3","+.054","+4.06","105.3","101.2","+10.85"
"273","Southern Utah","BSky","12-10","-9.26","96.4","105.6","70.9","+.091","-5.72","102.3","108.0","+1.29"
"274","St. Francis PA","NEC","12-11","-9.46","104.3","113.7","68.6","+.099","-5.15","101.6","106.8","+7.72"
"275","LIU Brooklyn","NEC","11-13","-9.52","98.7","108.2","71.5","-.008","-7.99","98.8","106.8","-4.97"
"276","Western Illinois","Sum","8-16","-9.54","98.4","107.9","67.0","-.150","-5.23","103.0","108.2","-4.76"
"277","Loyola MD","Pat","8-17","-9.63","100.6","110.2","68.8","-.027","-2.34","103.9","106.2","-1.03"
"278","New Orleans","Slnd","13-10","-9.64","93.0","102.6","68.3","+.072","-6.43","100.8","107.2","+6.82"
"279","James Madison","CAA","10-15","-9.64","100.6","110.3","65.3","+.017","-2.85","104.1","106.9","-2.70"
"280","Oral Roberts","Sum","10-17","-9.72","101.3","111.0","67.1","+.012","-0.63","105.7","106.3","+3.95"
"281","Albany","AE","8-16","-9.72","97.1","106.8","65.8","-.097","-5.62","100.6","106.2","-4.85"
"282","Longwood","BSth","13-13","-9.77","96.2","106.0","67.4","-.019","-7.20","101.1","108.3","-9.50"
"283","Houston Baptist","Slnd","7-14","-9.93","101.0","110.9","72.7","-.005","-1.69","102.2","103.9","+8.02"
"284","UNC Wilmington","CAA","8-18","-9.98","106.2","116.2","68.9","-.038","-2.02","104.5","106.5","+2.15"
"285","Western Carolina","SC","6-20","-10.02","100.9","110.9","69.1","-.013","+4.26","106.9","102.7","+5.13"
"286","Tennessee St.","OVC","8-16","-10.15","97.2","107.3","68.9","-.039","-0.54","102.9","103.4","+5.60"
"287","Central Arkansas","Slnd","10-14","-10.22","100.1","110.3","71.1","+.027","-1.36","101.8","103.2","+8.68"
"288","Stephen F. Austin","Slnd","12-10","-10.25","96.3","106.5","69.0","+.113","-3.80","102.1","105.9","+5.38"
"289","Eastern Washington","BSky","8-15","-10.34","99.4","109.7","67.7","+.031","-1.07","103.9","105.0","+7.68"
"290","Monmouth","MAAC","10-16","-10.37","92.3","102.7","66.9","+.052","-2.61","102.5","105.2","+4.63"
"291","Eastern Illinois","OVC","13-12","-10.40","100.4","110.8","67.0","+.155","-4.08","102.5","106.6","-4.08"
"292","North Dakota","Sum","9-16","-10.50","94.8","105.3","69.6","-.058","-1.74","104.9","106.6","+1.94"
"293","Central Connecticut","NEC","11-14","-10.55","100.2","110.7","68.9","+.036","-4.38","101.5","105.9","+3.83"
"294","Wagner","NEC","11-12","-10.56","94.1","104.7","64.0","+.049","-5.56","101.2","106.8","+0.30"
"295","Milwaukee","Horz","9-16","-10.57","98.4","108.9","66.0","+.040","-3.21","102.9","106.1","-2.37"
